case编号,用户id,case标题,地域,机型,操作系统,网络环境,运营商,ROM信息,bug详情,复现步骤,截图,是否未知,优先级,审核状态,提交时间
0,2973722,完整版系统控制,广东省|惠州市|惠城区|YG59|,"Meizu  MX4 Pro","Android 5.0.1","WIFI ",中国移动,"Flyme OS 4.5.3.1A (体验版)",电视端与手机端都已经安装了好连，也处于同一个wifi环境下，手机端就是不能搜索到电视设备，bug，测试手机魅族4pro，安卓5.0,在电视端和手机端安装好连遥控app-->设置处于同意wifi环境-->打开手机app-->连接wifi-->手机自动搜索设备-->连接搜索不到电视设备,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4705019_f82a192b-7185-4d4e-9850-4d8e304eade6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4705018_5d67eb1e-4e1d-4620-8432-9a434205c336.jpg""]",已知,P3,审核通过,"2015-09-08 23:51:12"
0,2973722,完整版系统控制,广东省|惠州市|惠城区|YG59|,"Meizu  MX4 Pro","Android 5.0.1","WIFI ",中国移动,"Flyme OS 4.5.3.1A (体验版)","打开手机app，点击右上角的设置按钮，进入设置，点击各个功能，可以发现其中设置的“操作界面”点击会变颜色，但是触摸离开屏幕时，却没有任何反应，没有进入有关“操作界面”的任何界面，bug，测试手机魅族4 pro，安卓5.0",打开手机app-->点击右上角的设置按钮，进入设置-->点击各个功能-->其中设置的“操作界面”点击会变颜色，但是触摸离开屏幕时，却没有任何反应,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4705019_f82a192b-7185-4d4e-9850-4d8e304eade6.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4705018_5d67eb1e-4e1d-4620-8432-9a434205c336.jpg""]",未知,P0,审核通过,"2015-09-08 23:51:12"
0,14519399,完整版系统控制,四川|成都,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,非常慢，会无响应2分钟左右，且会造成电视黑屏或卡顿,安装好app，连接电视，正常使用10分钟以内。再点击手机app上的主页或者返回按钮。会无响应，很容易造成电视黑屏或卡顿。机顶盒是天猫魔盒，yunos，电视是飞利浦,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702914_e2cc2123-7ead-4c03-920f-1614dd1114c0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702913_9d40277e-29d2-451d-adc8-4cadf8866897.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702912_49f60b67-7a6c-4b9e-8f16-04fc07087f34.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702911_d5d2ca33-c097-4b66-b5d9-3ef4945e34a3.jpg""]",未知,P0,审核通过,"2015-09-08 20:46:09"
0,14519399,完整版系统控制,四川|成都,"Xiaomi  HM 1S","Android 4.4.4","WIFI ",中国电信,KTU84P,时而无法识别机顶盒，但显示连接上。过1分钟左右再次识别上。,连续正常操作按钮操作数十次，手机上app原先识别好的机顶盒变成了未识别的，只显示ip的，但仍显示连接上。过一会能自动恢复，但操作一会仍会变成未识别的状态。而且此时明明已连接上设备，最下方仍提示要求我安装电视端应用程序。机顶盒是天猫魔盒，yunos，电视是飞利浦,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702914_e2cc2123-7ead-4c03-920f-1614dd1114c0.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702913_9d40277e-29d2-451d-adc8-4cadf8866897.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702912_49f60b67-7a6c-4b9e-8f16-04fc07087f34.jpg"",""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4702911_d5d2ca33-c097-4b66-b5d9-3ef4945e34a3.jpg""]",未知,P0,审核通过,"2015-09-08 20:46:09"
0,15282844,完整版系统控制,广东省|中山市|中山市市辖区|同福中路|,"vivo  vivo Y923","Android 4.4.4","WIFI ",中国移动,"KTU84P dev-keys",无法连接到电视，无法操作,安装APP进入到页面，连接到WIFI，同时连接电视，电视已经连上WIFI，但是手机无法连接电视,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4709537_0ada3f02-7ec6-4412-97b3-5d5f7ce401f6.jpg""]",未知,P0,审核通过,"2015-09-09 09:15:35"
1,15282844,空白系统控制,广东省|中山市|中山市市辖区|同福中路|,"vivo  vivo Y923","Android 4.4.4","WIFI ",中国移动,"KTU84P dev-keys",连接不到电视，无法操作,安装APP打开软件。连接到同一个WIFI但连接不到电视，搜索不到电视。无法操作,"[""http:\/\/bos.bj.baidubce.com\/json-api\/v1\/crowdtest-online\/upload\/4709536_9b4b3607-9eea-4338-8d24-f67a3b96e5a4.jpg""]",未知,P0,审核通过,"2015-09-09 09:15:35"
